,dien_tich,mat_tien,huong_nha,lat,long,gia_m2,do_rong_duong_ml,ten_phuong,sodo
12147,124.0,8.585,KXĐ,21.0548635,105.8884966,44.354838709677416,Ngõ 1 ô tô,Phường Long Biên,1
12148,52.0,5.17,KXĐ,21.0467175,105.925595,42.30769230769231,Ngõ 1 ô tô,Phường Long Biên,1
12149,76.6,6.07,Nam,21.0495394,105.8834124,90.0,Ngõ 1 ô tô,Phường Long Biên,0
12150,75.0,6.023050847457627,KXĐ,21.0288671,105.8840044,50.0,Ngõ 1 ô tô,Phường Long Biên,1
12151,45.0,5.976101694915254,KXĐ,21.0216845,105.8953979,64.444444,Ngõ 1 ô tô,Phường Long Biên,1
12152,82.0,5.929152542372882,KXĐ,21.022188,105.9078461,45.121951,Ngõ 1 ô tô,Phường Thạch Bàn,1
12153,37.0,5.882203389830509,KXĐ,21.056117,105.8658584,55.405405,Ngõ 1 ô tô,Phường Ngọc Thụy,0
12154,90.0,5.835254237288136,KXĐ,21.0409698,105.8973932,92.222222,Ngõ 4 ô tô tránh,Phường Phúc Đồng,1
12156,45.0,5.7413559322033905,KXĐ,21.0215835,105.8963079,63.333333,Ngõ 1 ô tô,Phường Bồ Đề,0
12157,116.0,5.694406779661017,KXĐ,21.0766876,105.9075309,71.551724,Ngõ 2 ô tô tránh,Phường Thượng Thanh,1
12158,60.0,5.647457627118644,KXĐ,21.0221876,105.9065074,91.666667,Ngõ 3 ô tô tránh,Phường Thạch Bàn,1
12159,82.0,5.600508474576271,KXĐ,21.0186765,105.884813,58.536585,Ngõ 1 ô tô,Phường Long Biên,1
12160,59.0,5.553559322033898,KXĐ,21.0437208,105.9259271,36.440678,Ngõ 1 ô tô,Phường Phúc Lợi,1
12161,30.0,5.506610169491526,Đông Bắc,21.0495394,105.8834124,110.0,Ngõ 1 ô tô,Phường Gia Thụy,1
12163,42.0,5.41271186440678,KXĐ,21.0285735,105.9193383,58.333333,Ngõ 1 ô tô,Phường Thạch Bàn,1
12164,56.0,5.365762711864407,KXĐ,21.022188,105.9078461,52.678571,Ngõ 1 ô tô,Phường Thạch Bàn,1
12165,92.0,5.3188135593220345,Tây Bắc,21.0655013,105.8883137,31.086957,Ngõ 1 ô tô,Phường Thượng Thanh,1
12166,100.0,5.271864406779661,KXĐ,21.0384445,105.8762451,77.9,Ngõ 1 ô tô,Phường Bồ Đề,1
12167,84.0,5.224915254237288,KXĐ,21.0294886,105.8982686,73.809524,Ngõ 1 ô tô,Phường Long Biên,1
12168,45.0,5.177966101694915,KXĐ,21.0439297,105.872546,59.555556,Ngõ 1 ô tô,Phường Bồ Đề,1
12171,55.0,5.037118644067797,KXĐ,21.0448412,105.8686635,45.454545,Ngõ 1 ô tô,Phường Ngọc Lâm,1
12172,48.0,4.990169491525424,KXĐ,21.0525499,105.8973103,45.0,Ngõ 1 ô tô,Phường Việt Hưng,1
12173,40.0,4.943220338983051,KXĐ,21.0597041,105.8962972,73.0,Ngõ 1 ô tô,Phường Đức Giang,1
12174,65.0,4.8962711864406785,KXĐ,21.0625626,105.8801066,62.0,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12175,30.0,4.849322033898305,Tây Bắc,21.063077,105.895785,36.666667,Ngõ 1 ô tô,Phường Long Biên,1
12176,119.0,4.802372881355932,KXĐ,21.0387659,105.9053703,107.563025,Ngõ 1 ô tô,Phường Sài Đồng,1
12177,70.0,4.755423728813559,Đông Nam,21.0218618,105.9085869,73.414286,Ngõ 1 ô tô,Phường Thạch Bàn,1
12178,79.0,4.708474576271186,KXĐ,21.0435466,105.8982188,65.822785,Ngõ 1 ô tô,Phường Phúc Đồng,1
12179,72.0,4.661525423728813,KXĐ,21.0435466,105.8982188,72.222222,Ngõ 1 ô tô,Phường Phúc Đồng,1
12180,76.0,4.614576271186441,KXĐ,21.0580819,105.9020562,121.052632,Ngõ 1 ô tô,Phường Việt Hưng,1
12181,112.0,4.567627118644068,KXĐ,21.0548635,105.8884966,47.321429,Ngõ 1 ô tô,Phường Long Biên,1
12182,59.0,4.520677966101695,KXĐ,21.0404889,105.8735636,88.983051,Ngõ 1 ô tô,Phường Bồ Đề,0
12183,100.0,4.4737288135593225,KXĐ,21.0371784,105.8730678,78.0,Ngõ 1 ô tô,Phường Bồ Đề,1
12184,52.0,4.426779661016949,KXĐ,21.0588582,105.8583873,51.346154,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12185,34.0,4.379830508474576,Đông Bắc,21.0371784,105.8730678,85.294118,Ngõ 1 ô tô,Phường Bồ Đề,1
12186,91.0,4.332881355932203,KXĐ,21.0588582,105.8583873,41.0,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12187,90.0,4.28593220338983,KXĐ,21.0383592,105.9339701,80.0,Ngõ 1 ô tô,Phường Phúc Lợi,1
12188,35.0,4.238983050847457,KXĐ,21.0383592,105.9339701,50.0,Ngõ 1 ô tô,Phường Phúc Lợi,1
12189,125.0,4.192033898305085,KXĐ,21.0452698,105.8657089,100.8,Ngõ 4 ô tô trở lên,Phường Ngọc Thụy,1
12191,45.0,4.098135593220339,KXĐ,21.0368641,105.9115731,74.444444,Ngõ 1 ô tô,Phường Sài Đồng,1
12192,60.0,4.0511864406779665,KXĐ,21.0218618,105.9085869,45.0,Ngõ 1 ô tô,Phường Thạch Bàn,0
12194,54.0,3.9572881355932203,KXĐ,21.0495394,105.8834124,43.518519,Ngõ 1 ô tô,Phường Gia Thụy,0
12195,37.0,3.9103389830508473,KXĐ,21.0059693,105.896559,44.594595,Ngõ 1 ô tô,Phường Cự Khối,0
12196,43.0,3.8633898305084746,KXĐ,21.056117,105.8658584,82.55814,Ngõ 2 ô tô tránh,Phường Ngọc Thụy,0
12197,45.0,3.8164406779661015,KXĐ,21.0186765,105.884813,62.222222,Ngõ 1 ô tô,Phường Long Biên,1
12198,58.0,3.7694915254237285,KXĐ,21.0439297,105.872546,90.862069,Ngõ 1 ô tô,Phường Bồ Đề,1
12199,30.0,3.722542372881356,Tây Nam,21.0701691,105.9068373,48.333333,Ngõ 1 ô tô,Phường Đức Giang,1
12200,52.0,3.6755932203389827,KXĐ,21.0499188,105.8647381,36.538462,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12201,45.0,3.62864406779661,KXĐ,21.0553105,105.8804085,50.0,Ngõ 1 ô tô,Phường Long Biên,0
12202,34.0,3.581694915254237,Đông,21.0437208,105.9259271,39.705882,Ngõ 1 ô tô,Phường Phúc Lợi,1
12203,47.0,3.5347457627118644,Tây Nam,21.0216695,105.9141793,57.021277,Ngõ 1 ô tô,Phường Thạch Bàn,1
12204,57.0,3.4877966101694913,Đông Bắc,21.0437208,105.9259271,45.614035,Ngõ 1 ô tô,Phường Phúc Lợi,1
12206,49.0,3.3938983050847455,KXĐ,21.0448412,105.8686635,61.22449,Ngõ 1 ô tô,Phường Ngọc Lâm,0
12207,60.0,3.3469491525423725,KXĐ,21.0371784,105.8730678,86.666667,Ngõ 1 ô tô,Phường Bồ Đề,1
12208,46.0,3.3,KXĐ,21.0405733,105.8776605,72.826087,Ngõ 1 ô tô,Phường Bồ Đề,1
12209,59.0,3.5,KXĐ,21.0405733,105.8776605,65.084746,Ngõ 1 ô tô,Phường Long Biên,1
12210,97.0,3.6999999999999997,KXĐ,21.0311299,105.915143,72.164948,Ngõ 1 ô tô,Phường Sài Đồng,1
12211,35.0,3.9,KXĐ,21.0250451,105.9078847,55.714286,Ngõ 1 ô tô,Phường Thạch Bàn,1
12212,30.0,4.1,KXĐ,21.0272485,105.9114489,73.333333,Ngõ 1 ô tô,Phường Long Biên,1
12214,113.0,4.5,Đông Bắc,21.0399242,105.9035693,115.04424778761062,Ngõ 1 ô tô,Phường Long Biên,1
12215,50.0,4.39,KXĐ,21.026428,105.8930876,47.0,Ngõ ngách,Phường Long Biên,1
12218,50.0,4.06,KXĐ,21.0448412,105.8686635,60.0,Ngõ 4 ô tô trở lên,Phường Ngọc Lâm,1
12219,112.0,3.95,Tây Bắc,21.0621941,105.9163657,45.982143,Ngõ 1 ô tô,Phường Long Biên,1
12220,50.0,3.84,KXĐ,21.0448412,105.8686635,60.0,Ngõ 1 ô tô,Phường Ngọc Lâm,1
12221,60.0,3.73,Tây Bắc,21.0371784,105.8730678,70.0,Ngõ 1 ô tô,Phường Bồ Đề,1
12222,74.0,3.62,Bắc,21.0260537,105.8985417,75.0,Ngõ 1 ô tô,Phường Cự Khối,1
12223,119.0,3.51,KXĐ,21.0387659,105.9053703,107.563025,Ngõ 1 ô tô,Phường Sài Đồng,1
12224,36.4,3.4,Đông Nam,21.044669,105.9274654,42.582417582417584,Ngõ 1 ô tô,Phường Long Biên,1
12225,93.0,3.432,KXĐ,21.0349208,105.919251,49.462366,Ngõ 1 ô tô,Phường Sài Đồng,1
12226,35.0,3.464,KXĐ,21.0383592,105.9339701,35.714286,Ngõ ngách,Phường Phúc Lợi,0
12227,50.0,3.496,KXĐ,21.026428,105.8930876,58.0,Ngõ 1 ô tô,Phường Long Biên,1
12228,125.0,3.528,KXĐ,21.0769457,105.9035321,41.6,Ngõ 1 ô tô,Phường Thượng Thanh,0
12229,87.0,3.56,KXĐ,21.0437208,105.9259271,90.229885,Ngõ 1 ô tô,Phường Phúc Lợi,0
12230,90.0,3.592,KXĐ,21.0681568,105.8897499,44.444444,Ngõ 1 ô tô,Phường Thượng Thanh,1
12231,45.0,3.624,KXĐ,21.0285735,105.9193383,60.0,Ngõ 1 ô tô,Phường Thạch Bàn,1
12232,55.0,3.656,KXĐ,21.0656481,105.8980445,81.818182,Ngõ 3 ô tô tránh,Phường Đức Giang,1
12233,45.0,3.688,KXĐ,21.0495394,105.8834124,59.555556,Ngõ 3 ô tô tránh,Phường Gia Thụy,1
12234,65.0,3.7199999999999998,KXĐ,21.0383592,105.9339701,46.153846,Ngõ 4 ô tô trở lên,Phường Phúc Lợi,1
12235,124.0,3.752,KXĐ,21.0292284,105.885724,63.0,Ngõ 3 ô tô tránh,Phường Long Biên,1
12236,54.0,3.784,KXĐ,21.0186765,105.884813,36.666667,Ngõ 1 ô tô,Phường Long Biên,1
12237,70.0,3.816,KXĐ,21.0265233,105.9105945,75.0,Ngõ 3 ô tô tránh,Phường Thạch Bàn,0
12238,36.0,3.848,Tây Nam,21.0607981,105.8931482,28.333333,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12241,90.0,3.944,KXĐ,21.0327774,105.8768243,52.222222,Ngõ 4 ô tô tránh,Phường Bồ Đề,0
12242,40.0,3.976,KXĐ,21.0211411,105.9144728,58.75,Ngõ 1 ô tô,Phường Sài Đồng,1
12243,70.0,4.008,KXĐ,21.0381908,105.9342071,32.571429,Ngõ 1 ô tô,Phường Phúc Lợi,1
12244,34.0,4.04,KXĐ,21.0437208,105.9259271,43.529412,Ngõ 1 ô tô,Phường Phúc Lợi,1
12245,36.0,4.072,KXĐ,21.0437208,105.9259271,45.833333,Ngõ 1 ô tô,Phường Phúc Lợi,1
12246,89.0,4.104,KXĐ,21.0588582,105.8583873,64.044944,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12247,33.0,4.136,KXĐ,21.0437208,105.9259271,37.878788,Ngõ 1 ô tô,Phường Phúc Lợi,1
12248,54.0,4.168,KXĐ,21.0568211,105.8704385,62.962963,Ngõ 1 ô tô,Phường Thạch Bàn,0
12249,80.0,4.2,KXĐ,21.0308787,105.8881981,85.625,Ngõ 1 ô tô,Phường Long Biên,1
12250,38.0,4.227586206896552,KXĐ,21.0280679,105.8923763,60.526316,Ngõ 1 ô tô,Phường Thạch Bàn,0
12251,35.0,4.255172413793104,KXĐ,21.0495394,105.8834124,110.0,Ngõ 1 ô tô,Phường Gia Thụy,1
12252,40.0,4.2827586206896555,Tây Nam,21.0216695,105.9141793,58.75,Ngõ 1 ô tô,Phường Long Biên,1
12253,70.0,4.310344827586207,KXĐ,21.0588582,105.8583873,87.142857,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12254,60.0,4.337931034482759,KXĐ,21.0294886,105.8982686,56.666667,Ngõ 1 ô tô,Phường Long Biên,1
12255,60.0,4.365517241379311,Đông Bắc,21.0553105,105.8804085,50.0,Ngõ 1 ô tô,Phường Long Biên,1
12257,100.0,4.4206896551724135,KXĐ,21.0588582,105.8583873,54.0,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12258,60.0,4.448275862068965,KXĐ,21.0488357,105.8925652,83.333333,Ngõ 1 ô tô,Phường Gia Thụy,1
12261,75.0,4.531034482758621,KXĐ,21.0495394,105.8834124,106.666667,Ngõ 1 ô tô,Phường Gia Thụy,0
12262,35.0,4.558620689655172,KXĐ,21.0383592,105.9339701,34.285714,Ngõ 1 ô tô,Phường Phúc Lợi,1
12263,80.0,4.586206896551724,KXĐ,21.0674567,105.9200531,26.25,Ngõ 2 ô tô tránh,Phường Giang Biên,0
12264,75.0,4.613793103448276,KXĐ,21.0435466,105.8982188,69.333333,Ngõ 2 ô tô tránh,Phường Phúc Đồng,1
12265,70.0,4.641379310344828,KXĐ,21.0769457,105.9035321,71.428571,Ngõ 4 ô tô trở lên,Phường Thượng Thanh,1
12266,60.0,4.6689655172413795,Nam,21.0674567,105.9200531,29.166667,Ngõ 1 ô tô,Phường Giang Biên,1
12267,120.0,4.696551724137931,KXĐ,21.0355879,105.9108231,100.0,Ngõ 4 ô tô trở lên,Phường Long Biên,1
12268,155.0,4.724137931034483,KXĐ,21.0379429,105.8770127,38.709677,Ngõ 1 ô tô,Phường Bồ Đề,1
12269,90.0,4.751724137931035,KXĐ,21.0621941,105.9163657,44.444444,Ngõ 1 ô tô,Phường Giang Biên,0
12270,124.0,4.779310344827586,KXĐ,21.0288671,105.8840044,56.048387,Ngõ 1 ô tô,Phường Long Biên,1
12271,59.0,4.806896551724138,KXĐ,21.0439297,105.872546,88.983051,Ngõ 1 ô tô,Phường Bồ Đề,1
12272,83.0,4.834482758620689,KXĐ,21.0588457,105.9162804,90.361446,Ngõ 1 ô tô,Phường Giang Biên,1
12273,48.0,4.862068965517241,KXĐ,21.0098329,105.9051712,44.583333,Ngõ 1 ô tô,Phường Cự Khối,0
